Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;21101118502;"Advanced Powder Materials";journal;"2772834X";6,197;Q1;28;42;42;2751;1235;40;29,40;65,50;33,33;0;15;China;Asiatic Region;"KeAi Communications Co.";"2022-2023";"Catalysis (Q1); Ceramics and Composites (Q1); Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)";"Chemical Engineering; Energy; Materials Science"
12;27538;"Progress in Energy and Combustion Science";journal;"03601285";6,114;Q1;228;31;98;10672;3409;97;35,19;344,26;27,84;1;22;United Kingdom;Western Europe;"Elsevier B.V.";"1975-2024";"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)";"Chemical Engineering; Energy"
13;21100420314;"Energy Storage Materials";journal;"24058297";5,374;Q1;158;574;1635;45051;32636;1628;19,86;78,49;32,91;0;323;Netherlands;Western Europe;"Elsevier B.V.";"2015-2023";"Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
14;21101047377;"EnergyChem";journal;"25897780";5,274;Q1;40;20;64;5227;1455;64;23,00;261,35;42,86;0;13;Netherlands;Western Europe;"Elsevier B.V.";"2019-2023";"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
15;21101045745;"Carbon Energy";journal;"26379368";5,202;Q1;53;149;157;11831;3484;157;21,29;79,40;31,79;0;96;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2023";"Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
16;21100197947;"Nano Energy";journal;"22112855";4,685;Q1;255;900;3328;57655;57410;3328;17,24;64,06;31,16;1;407;Netherlands;Western Europe;"Elsevier B.V.";"2012-2023";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Engineering; Materials Science"
17;19700177027;"IEEE Transactions on Sustainable Energy";journal;"19493029, 19493037";4,364;Q1;164;242;683;7033;7650;682;10,49;29,06;24,75;0;135;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010-2023";"Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
18;28825;"IEEE Transactions on Power Systems";journal;"08858950";3,827;Q1;307;593;1489;17540;13199;1476;7,89;29,58;23,96;0;215;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1985-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
19;21101074917;"Advances in Applied Energy";journal;"26667924";3,788;Q1;33;42;103;4290;1541;97;14,96;102,14;26,74;2;34;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2023";"Energy (miscellaneous) (Q1)";"Energy"
20;27567;"Renewable and Sustainable Energy Reviews";journal;"13640321, 18790690";3,596;Q1;421;737;2896;85801;54654;2882;18,47;116,42;28,59;19;663;United Kingdom;Western Europe;"Elsevier Ltd";"1997-2023";"Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
21;21101107327;"Energy Material Advances";journal;"26927640";3,563;Q1;20;42;61;3281;770;59;12,75;78,12;33,20;0;21;United States;Northern America;"American Association for the Advancement of Science";"2020-2023";"Energy (miscellaneous) (Q1); Fuel Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
22;29374;"Energy Economics";journal;"01409883, 18736181";3,555;Q1;210;649;1481;42483;21836;1474;14,67;65,46;30,53;21;485;Netherlands;Western Europe;"Elsevier B.V.";"1979-2023";"Economics and Econometrics (Q1); Energy (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Energy"
23;21101030209;"Energy and Environmental Materials";journal;"25750348, 25750356";3,493;Q1;51;328;244;22718;3418;234;12,60;69,26;31,99;0;183;United States;Northern America;"John Wiley &amp; Sons Inc.";"2018-2023";"Energy (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Energy; Environmental Science; Materials Science"
24;21100244836;"Journal of Energy Chemistry";journal;"20954956";3,165;Q1;113;649;1884;49047;25067;1816;14,05;75,57;34,73;0;450;Netherlands;Western Europe;"Elsevier B.V.";"2013-2023";"Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1)";"Chemistry; Energy"
25;21100338359;"IEEE Journal of Emerging and Selected Topics in Power Electronics";journal;"21686785, 21686777";2,985;Q1;112;556;1616;17781;10822;1593;5,85;31,98;23,28;0;121;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
26;28801;"Applied Energy";journal;"18729118, 03062619";2,820;Q1;292;1569;4818;86374;58188;4806;11,46;55,05;25,80;12;1167;United Kingdom;Western Europe;"Elsevier B.V.";"1975-2024";"Building and Construction (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Engineering; Environmental Science"
27;21100232403;"Journal of Materials Chemistry A";journal;"20507496, 20507488";2,804;Q1;295;2221;6904;151025;77037;6898;10,43;68,00;32,90;0;1225;United Kingdom;Western Europe;"Royal Society of Chemistry";"2013-2023";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
28;19457;"Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development";journal;"10000747";2,789;Q1;70;118;340;4121;1703;340;5,10;34,92;29,39;0;22;China;Asiatic Region;"Science China Press";"1998, 2001-2023";"Energy Engineering and Power Technology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Energy"
29;21100900364;"Protection and Control of Modern Power Systems";journal;"23670983, 23672617";2,781;Q1;49;64;125;3186;1544;125;11,74;49,78;23,48;0;36;Singapore;Asiatic Region;"SpringerOpen";"2018-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Safety, Risk, Reliability and Quality (Q1)";"Energy; Engineering"
30;21100854649;"IEEE Transactions on Transportation Electrification";journal;"23327782";2,772;Q1;79;1004;765;15805;6743;762;8,45;15,74;23,78;0;450;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2023";"Automotive Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Transportation (Q1)";"Energy; Engineering; Social Sciences"
31;21100980165;"China Petroleum Exploration";journal;"16727703";2,643;Q1;26;77;247;2276;1376;247;5,32;29,56;31,81;0;11;China;Asiatic Region;"Petroleum Industry Press";"2020-2023";"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Geochemistry and Petrology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Energy"
32;21100201945;"International Journal of Mining Science and Technology";journal;"20952686";2,600;Q1;71;113;332;5011;3631;329;12,18;44,35;25,62;0;8;China;Asiatic Region;"China University of Mining and Technology";"2012-2023";"Energy Engineering and Power Technology (Q1); Geochemistry and Petrology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Energy"
33;15423;"Bioresource Technology";journal;"09608524, 18732976";2,576;Q1;364;1451;5202;73603;60112;5174;11,01;50,73;38,84;0;955;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2023";"Bioengineering (Q1); Environmental Engineering (Q1); Medicine (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Chemical Engineering; Energy; Environmental Science; Medicine"
34;21101107944;"Progress in Energy";journal;"25161083";2,555;Q1;20;14;65;1987;693;59;10,38;141,93;33,33;0;13;United Kingdom;Western Europe;"Institute of Physics";"2019-2023";"Energy (miscellaneous) (Q1)";"Energy"
35;29372;"Energy Conversion and Management";journal;"01968904";2,553;Q1;250;1127;3589;65814;39361;3574;10,51;58,40;24,29;2;960;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2023";"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
36;19700194105;"Sustainable Cities and Society";journal;"22106715, 22106707";2,545;Q1;130;725;2349;52191;29362;2346;12,07;71,99;32,87;10;642;Netherlands;Western Europe;"Elsevier B.V.";"2011-2023";"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)";"Energy; Engineering; Social Sciences"
37;9500153997;"Polymer Reviews";journal;"15583724, 15583716";2,529;Q1;110;31;66;6709;972;66;13,00;216,42;30,43;0;7;United States;Northern America;"Taylor and Francis Ltd.";"2006-2023";"Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Engineering; Materials Science"
38;21100826238;"Biofuel Research Journal";journal;"22928782";2,508;Q1;45;16;46;1466;627;46;15,67;91,63;19,28;0;16;Malaysia;Asiatic Region;"Alpha Creation Enterprise";"2014-2023";"Biotechnology (Q1); Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Environmental Engineering (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Energy; Environmental Science"
39;21101021443;"eTransportation";journal;"25901168";2,470;Q1;38;78;134;5507;1990;130;15,03;70,60;29,66;1;63;Netherlands;Western Europe;"Elsevier B.V.";"2019-2023";"Automotive Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Transportation (Q1)";"Energy; Engineering; Social Sciences"
40;21101037113;"Cell Reports Physical Science";journal;"26663864";2,446;Q1;49;433;932;26053;7705;926;7,67;60,17;30,15;2;169;United States;Northern America;"Cell Press";"2020-2023";"Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Chemistry; Energy; Engineering; Materials Science; Physics and Astronomy"
41;29403;"Energy Policy";journal;"03014215";2,388;Q1;272;459;1794;30557;18185;1780;10,49;66,57;30,81;24;412;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2023";"Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1)";"Energy; Environmental Science"
42;21101138014;"Materials Reports: Energy";journal;"26669358";2,367;Q1;20;35;54;3308;658;53;12,19;94,51;34,74;0;31;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Electrochemistry (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
43;21100416081;"Sustainable Production and Consumption";journal;"23525509";2,359;Q1;76;333;882;25551;11594;875;13,26;76,73;39,27;8;324;Netherlands;Western Europe;"Elsevier B.V.";"2015-2023";"Environmental Chemistry (Q1); Environmental Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Engineering; Environmental Science"
44;19700201681;"Environmental Innovation and Societal Transitions";journal;"22104224";2,357;Q1;79;87;317;8039;2402;305;6,15;92,40;44,49;8;63;Netherlands;Western Europe;"Elsevier B.V.";"2011-2023";"Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)";"Energy; Environmental Science; Social Sciences"
45;21100325067;"Energy Research and Social Science";journal;"22146296";2,320;Q1;113;368;1274;32128;10688;1274;7,69;87,30;46,73;30;318;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2023";"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)";"Energy; Social Sciences"
46;21101017898;"CSEE Journal of Power and Energy Systems";journal;"20960042";2,309;Q1;36;209;367;8035;3059;367;8,07;38,44;28,52;0;102;United States;Northern America;"China Electric Power Research Institute";"2020-2023";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1)";"Energy; Engineering; Materials Science"
47;21100901468;"Materials Today Physics";journal;"25425293";2,304;Q1;68;336;617;23129;6268;617;10,12;68,84;32,98;0;72;United Kingdom;Western Europe;"Elsevier Ltd";"2017-2023";"Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Energy; Materials Science; Physics and Astronomy"
48;25874;"Sustainable Development";journal;"10991719, 09680802";2,283;Q1;91;406;368;33184;5506;363;15,22;81,73;41,01;5;371;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1993-2023";"Development (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Social Sciences"
49;21100420330;"Journal of Modern Power Systems and Clean Energy";journal;"21965420, 21965625";2,278;Q1;65;177;441;6631;3449;439;7,02;37,46;30,12;0;99;China;Asiatic Region;"State Grid Electric Power Research Institute Nanjing Branch";"2013-2023";"Energy Engineering and Power Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
50;19462;"Shiyou Xuebao/Acta Petrolei Sinica";journal;"02532697";2,219;Q1;79;160;425;7463;2165;425;5,29;46,64;30,53;0;32;China;Asiatic Region;"Science China Press";"1985-1988, 1990-1992, 2001-2023";"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)";"Chemical Engineering; Energy"
51;28824;"IEEE Transactions on Energy Conversion";journal;"08858969, 15580059";2,210;Q1;200;313;823;7949;5331;819;6,18;25,40;19,07;0;93;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1986-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
52;21101161916;"Superconductivity";journal;"27728307";2,181;Q1;8;33;31;1439;174;30;5,61;43,61;26,19;0;3;Netherlands;Western Europe;"Elsevier B.V.";"2022-2023";"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering; Materials Science; Physics and Astronomy"
53;21101047378;"Energy and AI";journal;"26665468";2,160;Q1;33;100;164;5416;2080;160;11,94;54,16;20,27;1;66;Netherlands;Western Europe;"Elsevier B.V.";"2020-2023";"Artificial Intelligence (Q1); Energy (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Energy; Engineering"
54;5200152632;"Environmental Research Letters";journal;"17489326";2,134;Q1;183;720;2738;42398;18470;2720;5,87;58,89;36,53;38;525;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2006-2023";"Environmental Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Environmental Science; Medicine"
55;21100810501;"Materials Today Energy";journal;"24686069";2,116;Q1;67;245;776;16112;6986;775;9,10;65,76;30,80;0;160;United Kingdom;Western Europe;"Elsevier Ltd";"2016-2023";"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Science (miscellaneous) (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
56;29348;"Energy";journal;"18736785, 03605442";2,110;Q1;251;4008;8133;209116;82524;8115;10,29;52,17;28,46;9;2653;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2023";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Industrial and Manufacturing Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Engineering; Environmental Science; Mathematics"
57;19167;"Journal of Cleaner Production";journal;"09596526, 18791786";2,058;Q1;309;4422;15027;297573;180112;14979;11,08;67,29;35,17;26;3643;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2023";"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Energy; Engineering; Environmental Science"
58;12000154478;"ChemSusChem";journal;"1864564X, 18645631";2,045;Q1;201;500;1645;34771;13828;1594;7,95;69,54;33,78;0;245;Germany;Western Europe;"Wiley-VCH Verlag";"2008-2023";"Chemical Engineering (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Science (miscellaneous) (Q1)";"Chemical Engineering; Energy; Environmental Science; Materials Science"
59;21101137848;"Carbon Capture Science and Technology";journal;"27726568";2,041;Q1;19;47;71;4387;825;69;11,62;93,34;38,74;0;43;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2023";"Chemical Engineering (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)";"Chemical Engineering; Energy; Environmental Science"
60;17370;"IEEE Transactions on Power Delivery";journal;"19374208, 08858977";2,031;Q1;214;437;1244;12525;6590;1242;4,90;28,66;21,66;0;123;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1985-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
61;27540;"Progress in Photovoltaics: Research and Applications";journal;"10627995, 1099159X";1,992;Q1;148;123;342;6682;2535;323;7,51;54,33;22,11;7;116;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1993-2023";"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Engineering; Materials Science; Physics and Astronomy"
62;21100895361;"Green Energy and Environment";journal;"24680257, 20962797";1,982;Q1;57;188;294;15121;2952;268;10,05;80,43;35,61;0;106;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2016-2023";"Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
63;17300154720;"Petroleum Exploration and Development";journal;"20964803, 18763804";1,934;Q1;79;118;360;4146;2814;359;7,58;35,14;29,67;0;22;China;Asiatic Region;"KeAi Communications Co.";"2008-2023";"Economic Geology (Q1); Energy Engineering and Power Technology (Q1); Geochemistry and Petrology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Energy"
64;27569;"Renewable Energy";journal;"09601481, 18790682";1,923;Q1;250;1541;6271;82131;60481;6242;9,90;53,30;27,95;3;1388;United Kingdom;Western Europe;"Elsevier B.V.";"1991-2023";"Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
65;21100199818;"Energy Strategy Reviews";journal;"2211467X";1,899;Q1;65;207;408;16066;4070;405;8,91;77,61;26,02;3;183;Netherlands;Western Europe;"Elsevier";"2012-2023";"Energy (miscellaneous) (Q1)";"Energy"
66;19700188418;"Annual Review of Chemical and Biomolecular Engineering";journal;"19475438, 19475446";1,897;Q1;78;14;75;1663;597;72;7,55;118,79;30,00;0;5;United States;Northern America;"Annual Reviews Inc.";"2010-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemical Engineering; Chemistry; Energy"
67;21101177658;"Circular Economy";journal;"27731677, 27731685";1,863;Q1;9;24;14;1575;154;12;11,00;65,63;29,47;0;24;Netherlands;Western Europe;"Elsevier B.V.";"2022-2023";"Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
68;18063;"Journal of Power Sources";journal;"03787753";1,857;Q1;357;1218;3893;69166;34492;3885;8,41;56,79;30,31;1;879;Netherlands;Western Europe;"Elsevier B.V.";"1976-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Physical and Theoretical Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Engineering"
69;21100906361;"IEEE Transactions on Green Communications and Networking";journal;"24732400";1,814;Q1;46;178;435;6691;2324;423;5,77;37,59;27,77;0;86;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2023";"Computer Networks and Communications (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Computer Science; Energy"
70;21100977374;"Solar RRL";journal;"2367198X";1,783;Q1;76;491;1323;30633;8787;1313;6,50;62,39;29,31;0;459;Germany;Western Europe;"Wiley-VCH Verlag";"2017-2023";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering; Materials Science; Physics and Astronomy"
71;4900152303;"Global Environmental Politics";journal;"15263800";1,747;Q1;72;32;102;1497;453;94;3,48;46,78;39,58;3;25;United States;Northern America;"MIT Press Journals";"2006-2023";"Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Environmental Science; Social Sciences"
72;19559;"Tianranqi Gongye/Natural Gas Industry";journal;"10000976";1,740;Q1;57;192;675;6742;2538;675;4,16;35,11;31,21;0;52;China;Asiatic Region;"Natural Gas Industry Journal Agency";"1998-2023";"Energy Engineering and Power Technology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Energy"
73;17985;"International Journal of Electrical Power and Energy Systems";journal;"01420615";1,711;Q1;165;855;2734;32364;17370;2733;6,53;37,85;23,86;1;421;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1979-2024";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
74;21100442376;"Sustainable Materials and Technologies";journal;"22149937";1,681;Q1;60;250;383;18738;4017;382;9,61;74,95;34,11;1;171;Netherlands;Western Europe;"Elsevier B.V.";"2014-2023";"Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Energy; Engineering; Environmental Science; Materials Science"
75;21100248891;"ACS Sustainable Chemistry and Engineering";journal;"21680485";1,664;Q1;173;1687;5159;92426;41683;5096;7,17;54,79;35,02;1;901;United States;Northern America;"American Chemical Society";"2013-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemical Engineering; Chemistry; Energy; Environmental Science"
76;21101039172;"JPhys Energy";journal;"25157655";1,661;Q1;35;112;219;8645;1483;219;6,70;77,19;27,05;1;67;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2019-2023";"Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1)";"Energy; Materials Science"
